"","form","item"
"57","extreme.hook",1
"435","Egyptian.R.",2
"379","moderate.hump..hook.more.toward.center.",3
"489","extreme.hook.1",4
"437","Egyptian.R.",5
"14","Linear..positive.slope.",6
"231","Witches.hat",7
"464","extreme.hook.1",8
"416","Egyptian.R.",9
"374","moderate.hump..hook.more.toward.center.",10
"100","moderate.hook",11
"382","moderate.hump..hook.more.toward.center.",12
"381","moderate.hump..hook.more.toward.center.",13
"421","Egyptian.R.",14
"494","extreme.hook.1",15
"172","Egyptian",16
"248","Witches.hat",17
"376","moderate.hump..hook.more.toward.center.",18
"483","extreme.hook.1",19
"369","moderate.hump..hook.more.toward.center.",20
"245","Witches.hat",21
"485","extreme.hook.1",22
"495","extreme.hook.1",23
"372","moderate.hump..hook.more.toward.center.",24
"497","extreme.hook.1",25
"105","moderate.hook",26
"484","extreme.hook.1",27
"466","extreme.hook.1",28
"496","extreme.hook.1",29
"488","extreme.hook.1",30
"171","Egyptian",31
"477","extreme.hook.1",32
"261","Witches.hat",33
"478","extreme.hook.1",34
"433","Egyptian.R.",35
"169","Egyptian",36
"256","Witches.hat",37
"427","Egyptian.R.",38
"475","extreme.hook.1",39
"423","Egyptian.R.",40
"142","Egyptian",41
"472","extreme.hook.1",42
"473","extreme.hook.1",43
"417","Egyptian.R.",44
"424","Egyptian.R.",45
"104","moderate.hook",46
"237","Witches.hat",47
"461","extreme.hook.1",48
"98","moderate.hook",49
"429","Egyptian.R.",50
"102","moderate.hook",51
"480","extreme.hook.1",52
"450","Egyptian.R.",53
"241","Witches.hat",54
"432","Egyptian.R.",55
"101","moderate.hook",56
"487","extreme.hook.1",57
"328","Meh",58
"517","Linear..negative.slope.",59
"422","Egyptian.R.",60
"13","Linear..positive.slope.",61
"380","moderate.hump..hook.more.toward.center.",62
"418","Egyptian.R.",63
"474","extreme.hook.1",64
"519","Linear..negative.slope.",65
"15","Linear..positive.slope.",66
"426","Egyptian.R.",67
"513","Linear..negative.slope.",68
"326","Meh",69
"451","Egyptian.R.",70
"16","Linear..positive.slope.",71
"419","Egyptian.R.",72
"514","Linear..negative.slope.",73
"515","Linear..negative.slope.",74
"518","Linear..negative.slope.",75
"8","Linear..positive.slope.",76
"430","Egyptian.R.",77
"509","Linear..negative.slope.",78
"371","moderate.hump..hook.more.toward.center.",79
"527","Linear..negative.slope.",80
"325","Meh",81
"529","Linear..negative.slope.",82
"507","Linear..negative.slope.",83
"441","Egyptian.R.",84
"508","Linear..negative.slope.",85
"12","Linear..positive.slope.",86
"524","Linear..negative.slope.",87
"181","Egyptian",88
"463","extreme.hook.1",89
"462","extreme.hook.1",90
"17","Linear..positive.slope.",91
"525","Linear..negative.slope.",92
"255","Witches.hat",93
"498","extreme.hook.1",94
"468","extreme.hook.1",95
"9","Linear..positive.slope.",96
"465","extreme.hook.1",97
"530","Linear..negative.slope.",98
"139","Egyptian",99
"522","Linear..negative.slope.",100
"11","Linear..positive.slope.",101
"523","Linear..negative.slope.",102
"512","Linear..negative.slope.",103
"526","Linear..negative.slope.",104
"446","Egyptian.R.",105
"6","Linear..positive.slope.",106
"4","Linear..positive.slope.",107
"431","Egyptian.R.",108
"1","Linear..positive.slope.",109
"516","Linear..negative.slope.",110
"199","opposite.hook",111
"440","Egyptian.R.",112
"520","Linear..negative.slope.",113
"324","Meh",114
"428","Egyptian.R.",115
"7","Linear..positive.slope.",116
"486","extreme.hook.1",117
"521","Linear..negative.slope.",118
"20","Linear..positive.slope.",119
"144","Egyptian",120
"59","extreme.hook",121
"443","Egyptian.R.",122
"375","moderate.hump..hook.more.toward.center.",123
"482","extreme.hook.1",124
"444","Egyptian.R.",125
"143","Egyptian",126
"439","Egyptian.R.",128
"266","Witches.hat",129
"370","moderate.hump..hook.more.toward.center.",130
"154","Egyptian",131
"377","moderate.hump..hook.more.toward.center.",132
"467","extreme.hook.1",133
"469","extreme.hook.1",134
"491","extreme.hook.1",135
"175","Egyptian",136
"452","Egyptian.R.",137
"275","Witches.hat",138
"53","extreme.hook",139
"479","extreme.hook.1",140
"249","Witches.hat",141
"177","Egyptian",142
"434","Egyptian.R.",143
"180","Egyptian",144
"420","Egyptian.R.",145
"174","Egyptian",146
"481","extreme.hook.1",147
"332","Meh",148
"277","Uncategorizable",149
"182","Egyptian",150
"415","Egyptian.R.",151
"54","extreme.hook",152
"493","extreme.hook.1",153
"492","extreme.hook.1",154
"436","Egyptian.R.",155
"442","Egyptian.R.",156
"233","Witches.hat",157
"148","Egyptian",158
"147","Egyptian",159
"22","Linear..positive.slope.",160
"155","Egyptian",161
"196","opposite.hook",162
"270","Witches.hat",163
"198","opposite.hook",164
"56","extreme.hook",165
"97","moderate.hook",166
"476","extreme.hook.1",167
"48","extreme.hook",168
"23","Linear..positive.slope.",169
"470","extreme.hook.1",170
"257","Witches.hat",171
"179","Egyptian",172
"94","moderate.hook",173
"267","Witches.hat",174
"19","Linear..positive.slope.",175
"471","extreme.hook.1",176
"528","Linear..negative.slope.",177
"183","Egyptian",178
"146","Egyptian",179
"61","extreme.hook",180
"240","Witches.hat",181
"274","Witches.hat",182
"47","extreme.hook",183
"258","Witches.hat",184
"373","moderate.hump..hook.more.toward.center.",185
"50","extreme.hook",186
"232","Witches.hat",187
"18","Linear..positive.slope.",188
"165","Egyptian",189
"323","Meh",190
"152","Egyptian",191
"190","opposite.hook",192
"62","extreme.hook",193
"63","extreme.hook",194
"268","Witches.hat",195
"162","Egyptian",196
"194","opposite.hook",197
"166","Egyptian",198
"167","Egyptian",199
"447","Egyptian.R.",200
"193","opposite.hook",201
"141","Egyptian",202
"99","moderate.hook",203
"55","extreme.hook",204
"252","Witches.hat",205
"2","Linear..positive.slope.",206
"263","Witches.hat",207
"178","Egyptian",208
"176","Egyptian",209
"68","extreme.hook",210
"151","Egyptian",211
"5","Linear..positive.slope.",212
"246","Witches.hat",213
"276","Witches.hat",214
"269","Witches.hat",215
"145","Egyptian",216
"239","Witches.hat",217
"52","extreme.hook",218
"383","moderate.hump..hook.more.toward.center.",219
"235","Witches.hat",220
"499","extreme.hook.1",221
"173","Egyptian",222
"51","extreme.hook",223
"107","moderate.hook",224
"384","moderate.hump..hook.more.toward.center.",225
"195","opposite.hook",226
"168","Egyptian",227
"247","Witches.hat",228
"163","Egyptian",229
"95","moderate.hook",230
"197","opposite.hook",231
"96","moderate.hook",232
"60","extreme.hook",233
"58","extreme.hook",234
"108","moderate.hook",235
"10","Linear..positive.slope.",236
"170","Egyptian",237
"243","Witches.hat",238
"153","Egyptian",239
"250","Witches.hat",240
"259","Witches.hat",241
"150","Egyptian",242
"265","Witches.hat",243
"264","Witches.hat",244
"156","Egyptian",245
"445","Egyptian.R.",246
"331","Meh",247
"262","Witches.hat",248
"188","opposite.hook",249
"260","Witches.hat",250
"3","Linear..positive.slope.",251
"378","moderate.hump..hook.more.toward.center.",252
"449","Egyptian.R.",253
"157","Egyptian",254
"158","Egyptian",255
"272","Witches.hat",256
"273","Witches.hat",257
"184","Egyptian",258
"149","Egyptian",259
"244","Witches.hat",260
"438","Egyptian.R.",261
"271","Witches.hat",262
"93","moderate.hook",263
"327","Meh",264
"160","Egyptian",265
"278","Uncategorizable",266
"140","Egyptian",267
"251","Witches.hat",268
"236","Witches.hat",269
"189","opposite.hook",270
"510","Linear..negative.slope.",271
"67","extreme.hook",272
"192","opposite.hook",273
"164","Egyptian",274
"186","opposite.hook",275
"511","Linear..negative.slope.",276
"329","Meh",277
"330","Meh",278
"191","opposite.hook",279
"448","Egyptian.R.",280
"490","extreme.hook.1",281
"66","extreme.hook",282
"106","moderate.hook",283
"187","opposite.hook",284
"161","Egyptian",285
"425","Egyptian.R.",286
"159","Egyptian",287
"103","moderate.hook",288
"185","opposite.hook",289
"65","extreme.hook",290
"238","Witches.hat",291
"385","moderate.hump..hook.more.toward.center.",292
"242","Witches.hat",293
"64","extreme.hook",294
"333","Meh",295
"254","Witches.hat",296
"234","Witches.hat",297
"253","Witches.hat",298
"49","extreme.hook",299
"21","Linear..positive.slope.",300
